Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location,latlng,lat,lng
16-20377,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/20/2016,12/05/2016,11909019900,Ginger Thai Inc,Ginger Thai Inc,2861  Logan ST,Nashville,TN,37211.0,16.0,37017401.0,"2861 Logan ST
Nashville, TN 37211
(36.110873, -86.741881)","36.110873, -86.741881",36.110873, -86.741881
10-16680,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/21/2010,08/12/2010,13600015000,Antioch Shell,"MSA An Group, LLC",2813  Smith Springs RD,Nashville,TN,37217.0,29.0,37015617.0,"2813 Smith Springs RD
Nashville, TN 37217
(36.088425, -86.610061)","36.088425, -86.610061",36.088425, -86.610061
94-16016,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/17/1993,02/01/1994,11601001000,Hillwood Country Club,Hillwood Country Club Inc,6201  Hickory Valley RD,Nashville,TN,37205.0,23.0,37018102.0,"6201 Hickory Valley RD
Nashville, TN 37205
(36.122586, -86.872023)","36.122586, -86.872023",36.122586, -86.872023
11-16763,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/25/2011,02/24/2011,14712005500,CVS/Pharmacy,Tennessee CVS Pharmacy LLC,4709  Nolensville PIKE,Nashville,TN,37211.0,27.0,37018904.0,"4709 Nolensville PIKE
Nashville, TN 37211
(36.067967, -86.718892)","36.067967, -86.718892",36.067967, -86.718892
17-25019,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/16/2017,01/19/2018,09306310700,MELLOW MUSHROOM,,423  BROADWAY,NASHVILLE,TN,37203.0,19.0,37019500.0,"423 BROADWAY
NASHVILLE, TN 37203
(36.160672, -86.778047)","36.160672, -86.778047",36.160672, -86.778047
19-25849,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/25/2019,02/28/2019,07510005600,THORNTONS #603,,4145  LEBANON PIKE,HERMITAGE,TN,37076.0,11.0,37015404.0,"4145 LEBANON PIKE
HERMITAGE, TN 37076
(36.200857, -86.618092)","36.200857, -86.618092",36.200857, -86.618092
94-00118,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/27/1993,02/01/1994,08100002400,Rhodes Golf Clubhouse,Metro Board of Parks &amp; Recreation,1901  Ed Temple BLVD,Nashville,TN,37208.0,21.0,37013700.0,"1901 Ed Temple BLVD
Nashville, TN 37208
(36.184191, -86.82383)","36.184191, -86.82383",36.184191, -86.82383
02-15711,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/02/2002,11/21/2002,08416011900,Kroger Food & Drug,Kroger Limited Partnership,143  McGavock PIKE,Donelson,TN,37214.0,15.0,37015200.0,"143 McGavock PIKE
Donelson, TN 37214
(36.171222, -86.679564)","36.171222, -86.679564",36.171222, -86.679564
17-25149,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/01/2017,08/24/2017,16104019000,"LOS CANTARITOS MEXICAN GRILL, INC.",,5207  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,27.0,37019105.0,"5207 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.054797, -86.715425)","36.054797, -86.715425",36.054797, -86.715425
94-16315,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/12/1993,02/01/1994,04212000700,Madison Lodge #2473,Madison Elks Lodge #2473,308  Williams AVE,Madison,TN,37116.0,8.0,37010801.0,"308 Williams AVE
Madison, TN 37116
(36.267607, -86.715116)","36.267607, -86.715116",36.267607, -86.715116
17-25244,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/25/2017,02/08/2018,10510017700,TIGERMARKET #41055H,,2001  8TH AVE S,NASHVILLE,TN,37204.0,17.0,37016200.0,"2001 8TH AVE S
NASHVILLE, TN 37204
(36.133903, -86.779114)","36.133903, -86.779114",36.133903, -86.779114
15-17253,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/01/2015,04/23/2015,09402016200,Roy Meat Service,"Christie Lynn Roy, Jeffrey Marsh Roy",605 S 19TH ST,NASHVILLE,TN,37206.0,6.0,37012200.0,"605 S 19TH ST
NASHVILLE, TN 37206
(36.168445, -86.737644)","36.168445, -86.737644",36.168445, -86.737644
05-00729,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/30/2004,01/31/2005,13415003000,21 Club,"Greg Cook, Sandra Jo Vaughan",1331  Antioch PIKE,Nashville,TN,37211.0,28.0,37015613.0,"1331 Antioch PIKE
Nashville, TN 37211
(36.084036, -86.689559)","36.084036, -86.689559",36.084036, -86.689559
14-19982,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/03/2014,10/08/2014,13413024700,Hooters of Nashville Largo Dr,DW Restaurant Holder LLC,217  Largo DR,Nashville,TN,37211.0,30.0,37019003.0,"217 Largo DR
Nashville, TN 37211
(36.084522, -86.702558)","36.084522, -86.702558",36.084522, -86.702558
15-00174,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",08/13/2014,05/07/2015,07900007300,Best Brands Inc,Best Brands Inc,7337  Cockrill Bend BLVD,Nashville,TN,37209.0,20.0,37013000.0,"7337 Cockrill Bend BLVD
Nashville, TN 37209
(36.176111, -86.894646)","36.176111, -86.894646",36.176111, -86.894646
94-16077,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/02/1993,02/01/1994,13400018600,Mikado Japanese Steak House,Mikado Inc.,410  Metroplex DR,Nashville,TN,37211.0,13.0,37015613.0,"410 Metroplex DR
Nashville, TN 37211
(36.087796, -86.695841)","36.087796, -86.695841",36.087796, -86.695841
17-25280,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",10/12/2017,12/19/2018,08305018200,TAILGATE BREWERY EAST NASHVILLE,,811  GALLATIN AVE,NASHVILLE,TN,37206.0,6.0,37011700.0,"811 GALLATIN AVE
NASHVILLE, TN 37206
(36.186415, -86.74721)","36.186415, -86.74721",36.186415, -86.74721
18-25646,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",08/10/2018,11/15/2018,10503020600,JACKALOPE BREWING COMPANY,,429B  HOUSTON ST,NASHVILLE,TN,37203.0,17.0,37016100.0,"429B HOUSTON ST
NASHVILLE, TN 37203
(36.142883, -86.76697)","36.142883, -86.76697",36.142883, -86.76697
14-17161,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/04/2014,06/26/2014,06107008800,K&K Market,Habib Habib,4610  Gallatin PIKE,Nashville,TN,37216.0,7.0,37011100.0,"4610 Gallatin PIKE
Nashville, TN 37216
(36.229687, -86.725048)","36.229687, -86.725048",36.229687, -86.725048
00-17595,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/08/2000,05/09/2000,09601014400,Fletcher's Pizza,Gary Russell Fletcher,2715  Old Lebanon PIKE,Nashville,TN,37214.0,15.0,37015300.0,"2715 Old Lebanon PIKE
Nashville, TN 37214
(36.169811, -86.668075)","36.169811, -86.668075",36.169811, -86.668075
00-15213,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/26/2000,06/30/2000,14800008700,"Food Lion, LLC","Food Lion, LLC",936  Richards RD,Nashville,TN,37013.0,28.0,37015627.0,"936 Richards RD
Nashville, TN 37013
(36.069008, -86.681348)","36.069008, -86.681348",36.069008, -86.681348
18-25643,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/10/2018,09/14/2018,06012005200,ALIBI RESTAURANT & LOUNGE,,2919  DICKERSON PIKE,NASHVILLE,TN,37207.0,8.0,37011001.0,"2919 DICKERSON PIKE
NASHVILLE, TN 37207
(36.222953, -86.76122)","36.222953, -86.76122",36.222953, -86.76122
13-19785,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/13/2013,09/03/2013,11714017300,Green Hills 16,"Regal Cinemas, Inc.",3815  Green Hills Village DR,Nashville,TN,37215.0,25.0,37017901.0,"3815 Green Hills Village DR
Nashville, TN 37215
(36.108825, -86.815459)","36.108825, -86.815459",36.108825, -86.815459
16-20308,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/30/2016,07/25/2016,11714005500,Carrabba's Italian Grill,"Carrabba's Italian Grill, LLC",2110  Green Hills Village DR,Nashville,TN,37215.0,25.0,37017901.0,"2110 Green Hills Village DR
Nashville, TN 37215
(36.107845, -86.813039)","36.107845, -86.813039",36.107845, -86.813039
08-18876,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/08/2008,07/24/2008,09309032700,The Flying Saucer,"Ninthville, Ltd",111  10th AVE S,Nashville,TN,37203.0,19.0,37019500.0,"111 10th AVE S
Nashville, TN 37203
(36.156818, -86.78368)","36.156818, -86.78368",36.156818, -86.78368
00-00507,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/03/2000,01/26/2000,09115025000,Betty's Grill,Betty Oliver,4900  CHARLOTTE AVE,NASHVILLE,TN,37209.0,24.0,37013400.0,"4900 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.152041, -86.846095)","36.152041, -86.846095",36.152041, -86.846095
16-20356,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/28/2016,10/13/2016,09216025600,Loser's Most Wanted Bar,"Losers, LLC",1911  Division ST,Nashville,TN,37203.0,19.0,37019500.0,"1911 Division ST
Nashville, TN 37203
(36.149826, -86.796857)","36.149826, -86.796857",36.149826, -86.796857
13-17069,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/23/2013,09/12/2013,09700009800,D and K Petromart Inc.,D and K Petromart Inc.,5805  Old Hickory BLVD,Hermitage,TN,37076.0,14.0,37015610.0,"5805 Old Hickory BLVD
Hermitage, TN 37076
(36.169103, -86.600677)","36.169103, -86.600677",36.169103, -86.600677
05-18395,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/13/2005,10/13/2005,11714005500,The Cheesecake Factory,"The Cheesecake Factory Restaurants, Inc.",2133  Green Hills Village DR,Nashville,TN,37215.0,25.0,37017901.0,"2133 Green Hills Village DR
Nashville, TN 37215
(36.108504, -86.814774)","36.108504, -86.814774",36.108504, -86.814774
16-20240,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/23/2015,02/26/2016,09306104300,Blend Bar with Davidoff Cigars,"Blend Nashville, LLC",508  Church ST,Nashville,TN,37219.0,19.0,37019500.0,"508 Church ST
Nashville, TN 37219
(36.162961, -86.78063)","36.162961, -86.78063",36.162961, -86.78063
09-16467,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/30/2009,02/26/2009,08107016000,Titan Deli Market,IBBCO Corporation,2001  DR D B TODD JR BLVD,Nashville,TN,37208.0,21.0,37013700.0,"2001 DR D B TODD JR BLVD
Nashville, TN 37208
(36.182468, -86.81218)","36.182468, -86.81218",36.182468, -86.81218
10-16634,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/07/2010,02/10/2010,16014002700,Target Store,Target Corporation,780  Old Hickory BLVD,Brentwood,TN,37027.0,4.0,37018803.0,"780 Old Hickory BLVD
Brentwood, TN 37027
(36.041272, -86.778694)","36.041272, -86.778694",36.041272, -86.778694
12-16877,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/14/2012,04/12/2012,14712005100,Sam Market 2,Eyd Toss,4719  Nolensville PIKE,Nashville,TN,37211.0,27.0,37018904.0,"4719 Nolensville PIKE
Nashville, TN 37211
(36.067074, -86.718189)","36.067074, -86.718189",36.067074, -86.718189
16-00189,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",08/15/2016,09/08/2016,07900004500,"Delirium Wine & Spirits, Inc.",Delirium Wine &amp; Spirits Inc.,7131  Centennial PL,Nashville,TN,37209.0,20.0,37013000.0,"7131 Centennial PL
Nashville, TN 37209
(36.177786, -86.877703)","36.177786, -86.877703",36.177786, -86.877703
19-25964,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/02/2019,04/25/2019,09314055700,THE CHEF AND I ON NINTH,,611  9TH AVE S,NASHVILLE,TN,37203.0,19.0,37019500.0,"611 9TH AVE S
NASHVILLE, TN 37203
(36.150996, -86.78048)","36.150996, -86.78048",36.150996, -86.78048
94-15999,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/11/1993,02/01/1994,11613010000,"Sperry's Restaurant, Inc.","Sperry's Restaurant, Inc.",5109  Harding PIKE,Nashville,TN,37205.0,23.0,37018500.0,"5109 Harding PIKE
Nashville, TN 37205
(36.104901, -86.868726)","36.104901, -86.868726",36.104901, -86.868726
15-20040,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/16/2014,01/08/2015,10511023800,Smokin Thighs LLC,Smokin Thighs LLC,611  Wedgewood AVE,Nashville,TN,37203.0,17.0,37016100.0,"611 Wedgewood AVE
Nashville, TN 37203
(36.133391, -86.769935)","36.133391, -86.769935",36.133391, -86.769935
16-17343,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/29/2016,09/09/2016,10204010000,Aldi,Aldi (Indiana) LP,405  American RD,Nashville,TN,37209.0,20.0,37018101.0,"405 American RD
Nashville, TN 37209
(36.145043, -86.873264)","36.145043, -86.873264",36.145043, -86.873264
94-00064,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/30/1993,02/01/1994,10307007500,McCabe Golf Course,Metro Board of parks &amp; Recreation,4601  MURPHY RD  CLUB HOUSE,NASHVILLE,TN,37209.0,24.0,37013400.0,"4601 MURPHY RD CLUB HOUSE
NASHVILLE, TN 37209",,,
94-16018,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/09/1993,02/01/1994,14200026800,Cancun Mexican Rest.,Frontera Group Inc.,7077  Highway 70  S,Nashville,TN,37221.0,34.0,37018404.0,"7077 Highway 70 S
Nashville, TN 37221
(36.074787, -86.919884)","36.074787, -86.919884",36.074787, -86.919884
10-16602,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/30/2009,12/31/2009,11715000100,CVS/Pharmacy,Tennessee CVS Pharmacy,3801  Hillsboro PIKE,Nashville,TN,37215.0,25.0,37017901.0,"3801 Hillsboro PIKE
Nashville, TN 37215
(36.108799, -86.812065)","36.108799, -86.812065",36.108799, -86.812065
18-25645,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/10/2018,11/15/2018,10503020600,JACKALOPE BREWING COMPANY,,429B  HOUSTON ST,NASHVILLE,TN,37203.0,17.0,37016100.0,"429B HOUSTON ST
NASHVILLE, TN 37203
(36.142883, -86.76697)","36.142883, -86.76697",36.142883, -86.76697
11-16801,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/23/2011,06/23/2011,10600012300,Kwik Stop Super Mercado,"Kwik Stop Super Mercado, LLC",327  Plus Park BLVD,Nashville,TN,37217.0,16.0,37015802.0,"327 Plus Park BLVD
Nashville, TN 37217
(36.132114, -86.723722)","36.132114, -86.723722",36.132114, -86.723722
15-17249,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/19/2015,04/09/2015,08112005400,Garfield Market,Samy Ibrahim,1705  Jenkins ST,Nashville,TN,37208.0,19.0,37019400.0,"1705 Jenkins ST
Nashville, TN 37208
(36.179876, -86.798194)","36.179876, -86.798194",36.179876, -86.798194
18-25814,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/20/2018,04/11/2019,149030E00900CO,TONY'S MEXICAN RESTAURANT,,2635  LAKEVILLA DR,NASHVILLE,TN,37217.0,29.0,37015612.0,"2635 LAKEVILLA DR
NASHVILLE, TN 37217
(36.078427, -86.640443)","36.078427, -86.640443",36.078427, -86.640443
09-19115,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2009,11/09/2009,10402039600,Chipotle Mexican Grill,"Chipotle Mexican Grill of Colorado, LLC",2825  West End AVE,Nashville,TN,37203.0,18.0,37016600.0,"2825 West End AVE
Nashville, TN 37203
(36.14437, -86.813415)","36.14437, -86.813415",36.14437, -86.813415
07-00816,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/10/2007,05/10/2007,14810013900,Taqueria Lindo Michoacan,"Jose Diaz, Mike Quinones",3912  Apache TRL,Nashville,TN,37013.0,30.0,37019108.0,"3912 Apache TRL
Nashville, TN 37013
(36.068703, -86.693916)","36.068703, -86.693916",36.068703, -86.693916
18-25345,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/24/2018,03/02/2018,104080O00200CO,THE URBAN JUICER,,1622  21ST AVE S,NASHVILLE,TN,37212.0,17.0,37016400.0,"1622 21ST AVE S
NASHVILLE, TN 37212
(36.13835, -86.800685)","36.13835, -86.800685",36.13835, -86.800685
13-19736,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/14/2013,06/13/2013,09516004000,Homewood Suites Nashville Airp,"Interstate Management Company, LLC",2640  Elm Hill PIKE,Nashville,TN,37214.0,15.0,37015100.0,"2640 Elm Hill PIKE
Nashville, TN 37214
(36.151465, -86.6721)","36.151465, -86.6721",36.151465, -86.6721
12-19509,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/06/2012,08/23/2012,09306401500,Honky Tonk Central,"HTDG, LLC",329  Broadway,Nashville,TN,37201.0,19.0,37019500.0,"329 Broadway
Nashville, TN 37201
(36.161114, -86.777005)","36.161114, -86.777005",36.161114, -86.777005
17-25217,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/15/2017,03/22/2018,08216001700,NASHVILLE URBAN WINERY,,715  MAIN ST,NASHVILLE,TN,37206.0,6.0,37011900.0,"715 MAIN ST
NASHVILLE, TN 37206
(36.175009, -86.759677)","36.175009, -86.759677",36.175009, -86.759677
18-25750,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/29/2018,12/19/2018,09504005300,"HABANERO GRILL, LLC.",,2543  LEBANON PIKE,NASHVILLE,TN,37214.0,15.0,37015100.0,"2543 LEBANON PIKE
NASHVILLE, TN 37214
(36.169828, -86.675888)","36.169828, -86.675888",36.169828, -86.675888
08-00834,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/29/2008,02/14/2008,10408011600,McDougal's Chicken Fingers and,"McDougal's Village Coop, Inc.",2115  Belcourt AVE,Nashville,TN,37212.0,18.0,37016800.0,"2115 Belcourt AVE
Nashville, TN 37212
(36.13676, -86.802232)","36.13676, -86.802232",36.13676, -86.802232
95-16496,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/30/1995,06/14/1995,03406000200,The Olive Garden Italian Rest.,"GMRI, Inc.",1711  Gallatin PIKE N,Madison,TN,37115.0,10.0,37010401.0,"1711 Gallatin PIKE N
Madison, TN 37115
(36.295367, -86.700555)","36.295367, -86.700555",36.295367, -86.700555
16-20302,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/25/2016,07/13/2016,09309025900,The DawgHouse Saloon,"DawgHouse Saloon, LLC",1522  Demonbreun ST,Nashville,TN,37203.0,19.0,37019500.0,"1522 Demonbreun ST
Nashville, TN 37203
(36.152859, -86.790151)","36.152859, -86.790151",36.152859, -86.790151
18-25649,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/14/2018,04/12/2019,16400029400,DOS CARNALES,,2218  HOBSON PIKE,ANTIOCH,TN,37013.0,33.0,37015631.0,"2218 HOBSON PIKE
ANTIOCH, TN 37013
(36.05951, -86.596737)","36.05951, -86.596737",36.05951, -86.596737
16-17356,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,16300033100,Mapco Mart 3343,Mapco Express Inc,765  Bell RD,Antioch,TN,37013.0,32.0,37015628.0,"765 Bell RD
Antioch, TN 37013
(36.050574, -86.647541)","36.050574, -86.647541",36.050574, -86.647541
99-14982,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/30/1999,01/14/1999,13310002500,Joy Market,In Jo Yu,3767  Nolensville PIKE,Nashville,TN,37211.0,26.0,37017500.0,"3767 Nolensville PIKE
Nashville, TN 37211
(36.091674, -86.735261)","36.091674, -86.735261",36.091674, -86.735261
15-20173,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/03/2015,09/10/2015,17200008700,El Sombrero Mexican Restaurant,El Sombrero 1 Inc,6017  Nolensville PIKE,Nashville,TN,37211.0,4.0,37019116.0,"6017 Nolensville PIKE
Nashville, TN 37211
(36.026701, -86.71286)","36.026701, -86.71286",36.026701, -86.71286
18-25528,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/22/2018,11/15/2018,08301015500,PELICAN & PIG,,1010  GALLATIN AVE,NASHVILLE,TN,37206.0,5.0,37011700.0,"1010 GALLATIN AVE
NASHVILLE, TN 37206
(36.189165, -86.745991)","36.189165, -86.745991",36.189165, -86.745991
06-16180,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/25/2006,09/14/2006,18100025600,Kroger,Kroger Limited Partnership,6690  Nolensville PIKE,Brentwood,TN,37027.0,31.0,37019114.0,"6690 Nolensville PIKE
Brentwood, TN 37027
(35.998488, -86.692187)","35.998488, -86.692187",35.998488, -86.692187
17-25288,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/23/2017,11/16/2017,06008001800,MAPCO #3304,c/o Corporation Trust Company,3053  DICKERSON PIKE,NASHVILLE,TN,37207.0,8.0,37011001.0,"3053 DICKERSON PIKE
NASHVILLE, TN 37207
(36.229116, -86.759312)","36.229116, -86.759312",36.229116, -86.759312
12-16942,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/05/2012,10/11/2012,03300014600,Super Discount Tobacco & Beer,Madi Krupa Inc.,1230  Dickerson PIKE,Goodlettsville,TN,37072.0,3.0,37010201.0,"1230 Dickerson PIKE
Goodlettsville, TN 37072
(36.292078, -86.734504)","36.292078, -86.734504",36.292078, -86.734504
07-00825,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/24/2007,10/16/2007,13414004900,Bikini Beach Bar,"Video Systems, Inc.",1297  Antioch PIKE,Antioch,TN,37211.0,28.0,37015613.0,"1297 Antioch PIKE
Antioch, TN 37211
(36.086762, -86.691671)","36.086762, -86.691671",36.086762, -86.691671
99-17431,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/16/1998,01/14/1999,17100000500,Mazatlan Mexican Restaurant,"Mazatlan Mexican Restaurant, Inc.",116  WILSON PIKE CIR,BRENTWOOD,TN,37027.0,34.0,37018700.0,"116 WILSON PIKE CIR
BRENTWOOD, TN 37027
(36.035984, -86.785888)","36.035984, -86.785888",36.035984, -86.785888
13-19826,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/09/2013,11/22/2013,07300001700,Chuy's,"Chuy's Opco, Inc.",163  Opry Mills DR,Nashville,TN,37214.0,15.0,37015300.0,"163 Opry Mills DR
Nashville, TN 37214
(36.204489, -86.691304)","36.204489, -86.691304",36.204489, -86.691304
08-16376,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/04/2008,04/24/2008,07504004000,Dollar General Market,"Dolgencorp, LLC.",4491  Lebanon PIKE,Hermitage,TN,37076.0,11.0,37015404.0,"4491 Lebanon PIKE
Hermitage, TN 37076
(36.215149, -86.599415)","36.215149, -86.599415",36.215149, -86.599415
16-17366,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,10801003600,Mapco 3403,Mapco Express Inc,550  Donelson PIKE,Nashville,TN,37214.0,15.0,37015100.0,"550 Donelson PIKE
Nashville, TN 37214
(36.144882, -86.666754)","36.144882, -86.666754",36.144882, -86.666754
16-20336,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/18/2016,09/09/2016,10315004900,Sushi Train,Xun Dong,94  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.0,24.0,37018102.0,"94 WHITE BRIDGE PIKE
NASHVILLE, TN 37205",,,
13-19797,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/12/2013,09/26/2013,07206023400,Mickey's Tavern,Shamrock &amp; Thistle LLC,2907  Gallatin PIKE,Nashville,TN,37216.0,5.0,37011400.0,"2907 Gallatin PIKE
Nashville, TN 37216
(36.202778, -86.738917)","36.202778, -86.738917",36.202778, -86.738917
15-20111,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/29/2014,06/03/2015,11613010601,Asahi Japanese Restaurant,Joon W Chung,5133  Harding PIKE  C1,Nashville,TN,37205.0,23.0,37018500.0,"5133 Harding PIKE C1
Nashville, TN 37205
(36.103848, -86.869445)","36.103848, -86.869445",36.103848, -86.869445
16-20379,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/16/2016,12/05/2016,09306402800,Luigi's City Pizza and Sun Rec,T.C. Restaurant Group LLC,105  3rd AVE S,Nashville,TN,37201.0,19.0,37019500.0,"105 3rd AVE S
Nashville, TN 37201
(36.161231, -86.775752)","36.161231, -86.775752",36.161231, -86.775752
13-19757,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/24/2013,07/11/2013,09613021100,Darfons Restaurant and Lounge,"Darsinos and Sons, Inc.",2810  Elm Hill PIKE,Nashville,TN,37214.0,15.0,37015502.0,"2810 Elm Hill PIKE
Nashville, TN 37214
(36.148517, -86.665159)","36.148517, -86.665159",36.148517, -86.665159
18-25481,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/17/2018,02/28/2019,06912003300,400 DEGREES,,3704  CLARKSVILLE PIKE,NASHVILLE,TN,37218.0,2.0,37012801.0,"3704 CLARKSVILLE PIKE
NASHVILLE, TN 37218
(36.198322, -86.837927)","36.198322, -86.837927",36.198322, -86.837927
08-18858,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/29/2008,06/12/2008,12912013400,Cheekwood Tennessee Botanical Gardens,Cheekwood TN Botanical Gardens &amp; Museum of Art,1200  FORREST PARK DR  CHEEKWOOD,NASHVILLE,TN,37205.0,34.0,37018500.0,"1200 FORREST PARK DR CHEEKWOOD
NASHVILLE, TN 37205
(36.089481, -86.876312)","36.089481, -86.876312",36.089481, -86.876312
13-19746,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/21/2013,06/20/2013,09314056300,Peg Leg Porker BBQ,"Peg Leg Porker Restaurant, LLC",903  Gleaves ST,Nashville,TN,37203.0,19.0,37019500.0,"903 Gleaves ST
Nashville, TN 37203
(36.151995, -86.781119)","36.151995, -86.781119",36.151995, -86.781119
02-15668,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/19/2002,07/11/2002,04301002900,"Discount Tobacco Outlet, Inc.","Discount Tobacco Outlet, Inc.",1108  Gallatin PIKE,Madison,TN,37115.0,10.0,37010401.0,"1108 Gallatin PIKE
Madison, TN 37115
(36.279147, -86.708932)","36.279147, -86.708932",36.279147, -86.708932
10-16670,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/10/2010,06/24/2010,10200003300,"Publix Tennessee, LLC","Publix Tennessee, LLC",6614  Charlotte PIKE,Nashville,TN,37209.0,20.0,37018201.0,"6614 Charlotte PIKE
Nashville, TN 37209
(36.138444, -86.881348)","36.138444, -86.881348",36.138444, -86.881348
06-16141,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/27/2006,06/09/2006,16100026400,Publix Supermarkets,"Publix Tennessee, LLC",15544  Old Hickory BLVD,Nashville,TN,37211.0,27.0,37019106.0,"15544 Old Hickory BLVD
Nashville, TN 37211
(36.039936, -86.741717)","36.039936, -86.741717",36.039936, -86.741717
